GEOID,Type,Business,lat,lon,Location,SNAP_EBT,WIC_FMNP,Senior_FMNP,VA_Fresh_Match,FI_Rate,totalPopulation,CountOfDollarStores,CountOfGroceryStores,DollarToGroceryRatio,PeoplePerGrocery
51141,F,"Monday Market, Fairy Stone State Park",36.79253397,-80.1167697,"967 Fairystone Lake Dr, Stuart, VA 24171, USA",No,Yes,Yes,No,14,17660,4,1,4,17660
51143,F,Virginia Grown Farmers' Market at Olde Dominion Agricultural Complex,36.8640793,-79.40357071,"19783 US-29, Chatham, VA 24531, USA",Yes,Yes,Yes,No,14,60541,16,4,4,15135
51155,F,The Marketplace,37.04585323,-80.77933889,"20 S Washington Ave, Pulaski, VA 24301, USA",Yes,No,No,Yes,14.5,33841,6,5,1.2,6768
51161,F,Catawba Valley Farmers Market,37.38353765,-80.10689353,"4965 Catawba Creek Rd, Catawba, VA 24070, USA",Yes,No,No,Yes,10.3,96653,7,12,0.58,8054
51161,F,Vinton Farmer's Market,37.28053666,-79.89871659,"204 W Lee Ave, Vinton, VA 24179, USA",Yes,No,No,Yes,10.3,96653,7,12,0.58,8054
51167,F,Lebanon Farmers Market,36.90480746,-82.06943959,"137 Highland Dr, Lebanon, VA 24266, USA",Yes,Yes,Yes,Yes,19.3,25763,6,2,3,12882
51173,F,Chilhowie Farmer's Market,36.80223235,-81.67725483,"821 E Lee Hwy, Chilhowie, VA 24319, USA",Yes,Yes,Yes,No,17.5,29799,9,4,2.25,7450
51173,F,Marion Regional Farmers Market,36.83297285,-81.51692443,"210 E Cherry St, Marion, VA 24354, USA",Yes,Yes,Yes,Yes,17.5,29799,9,4,2.25,7450
51185,F,Tazewell Farmers Market,37.13231538,-81.49110058,"2330 Fincastle Turnpike, North Tazewell, VA 24630, USA",Yes,Yes,Yes,No,16.5,40392,14,6,2.33,6732
51185,F,Bluefield Farmers Market,37.25170057,-81.27170957,"Walnut St, Bluefield, VA 24605, USA",Yes,Yes,Yes,No,16.5,40392,14,6,2.33,6732
51191,F,Abingdon Farmers Market,36.70850997,-81.97728827,"US-58 ALT & Remsburg Dr, Abingdon, VA 24210, USA",Yes,Yes,Yes,Yes,14.5,53985,11,5,2.2,10797
51191,F,Glade Spring Farmers Market,36.79006798,-81.77162961,"100 Town Square St, Glade Spring, VA 24340, USA",No,Yes,Yes,No,14.5,53985,11,5,2.2,10797
51191,F,Damascus Farmers Market,36.63612646,-81.78908871,"127 W Imboden St, Damascus, VA 24236, USA",No,No,No,No,14.5,53985,11,5,2.2,10797
51195,F,Big Stone Gap Farmers Market,36.86628756,-82.77549889,"306 Wood Ave E, Big Stone Gap, VA 24219, USA",Yes,Yes,Yes,No,18.5,36105,11,4,2.75,9026
51195,F,Wise Farmers' Market,36.9774613,-82.57811418,"309 E Main St, Wise, VA 24293, USA",No,Yes,Yes,No,18.5,36105,11,4,2.75,9026
51195,F,Clinch River Farmers Market,36.90420687,-82.31126528,"4th Ave & Russell St, St Paul, VA 24283, USA",Yes,Yes,Yes,No,18.5,36105,11,4,2.75,9026
51197,F,Rural Retreat Farmer's Market at the Depot,36.89383155,-81.27654085,"105 W Railroad Ave, Rural Retreat, VA 24368, USA",No,Yes,Yes,No,15.9,28275,9,4,2.25,7069
51197,F,Wytheville Farmers Market,36.94845259,-81.08380907,"210 W Spring St, Wytheville, VA 24382, USA",Yes,Yes,Yes,No,15.9,28275,9,4,2.25,7069
51580,F,Covington Farmers Market,37.79361681,-79.99446616,"134 W Main St, Covington, VA 24426, USA",Yes,Yes,Yes,No,13.6,5722,3,2,1.5,2861
51590,F,Danville Farmers' Market,36.58467948,-79.38561182,"629 Craghead St, Danville, VA 24541, USA",Yes,Yes,Yes,Yes,16.7,42507,16,7,2.29,6072
51640,F,Galax Farmers Market,36.66318029,-80.9257475,"206 N Main St, Galax, VA 24333, USA",No,Yes,Yes,No,16.3,6687,5,2,2.5,3344
51690,F,Martinsville Uptown Farmers' Market,36.69190545,-79.87537536,"65 W Main St, Martinsville, VA 24112, USA",Yes,Yes,Yes,Yes,17.1,13539,4,3,1.33,4513
51720,F,Norton Friends & Farmers Market,36.93337857,-82.62990094,"815 Park Ave NW, Norton, VA 24273, USA",Yes,Yes,Yes,Yes,22.1,3668,2,1,2,3668
51750,F,Radford Farmers' Market,37.13231321,-80.58042602,"600 Unruh Dr, Radford, VA 24141, USA",No,Yes,Yes,No,16.8,16379,2,2,1,8190
51770,F,LEAP Grandin Village Farmers Market,37.26484173,-79.98010555,"2080 Westover Ave SW, Roanoke, VA 24015, USA",Yes,Yes,Yes,Yes,13.9,99213,18,9,2,11024
51770,F,LEAP West End Farmers Market,37.27207813,-79.96267383,"1210 Patterson Ave SW, Roanoke, VA 24016, USA",Yes,Yes,Yes,Yes,13.9,99213,18,9,2,11024
51770,F,Historic Roanoke City Market,37.27168197,-79.93914648,"Market Square SE, Roanoke, VA 24011, USA",Yes,No,No,Yes,13.9,99213,18,9,2,11024
51775,F,Salem Farmers Market,37.29282144,-80.05857237,"3 E Main St, Salem, VA 24153, USA",Yes,Yes,Yes,Yes,11.7,25372,3,5,0.6,5074
51019,G,Walmart,37.32563659,-79.49738497,NA,NA,NA,NA,NA,10.7,79761,13,7,1.86,11394
51185,G,Walmart,37.23795169,-81.25434078,NA,NA,NA,NA,NA,16.5,40392,14,6,2.33,6732
51191,G,Walmart,36.63494986,-82.1242846,NA,NA,NA,NA,NA,14.5,53985,11,5,2.2,10797
51121,G,Walmart,37.1609069,-80.42559713,NA,NA,NA,NA,NA,13.5,99373,9,9,1,11041
51580,G,Walmart,37.76749485,-79.9909671,NA,NA,NA,NA,NA,13.6,5722,3,2,1.5,2861
51590,G,Walmart,36.62740594,-79.39941751,NA,NA,NA,NA,NA,16.7,42507,16,7,2.29,6072
51590,G,Walmart,36.59690718,-79.42994464,NA,NA,NA,NA,NA,16.7,42507,16,7,2.29,6072
51155,G,Walmart,37.08408957,-80.6946003,NA,NA,NA,NA,NA,14.5,33841,6,5,1.2,6768
51019,G,Walmart,37.36566151,-79.26218922,NA,NA,NA,NA,NA,10.7,79761,13,7,1.86,11394
51640,G,Walmart,36.69260382,-80.88141734,NA,NA,NA,NA,NA,16.3,6687,5,2,2.5,3344
51027,G,Walmart,37.27817404,-82.10148431,NA,NA,NA,NA,NA,21.7,20246,8,2,4,10123
51105,G,Walmart,36.72523366,-83.10437156,NA,NA,NA,NA,NA,21.2,22287,7,1,7,22287
51167,G,Walmart,36.90053543,-82.0439786,NA,NA,NA,NA,NA,19.3,25763,6,2,3,12882
51173,G,Walmart,36.84657656,-81.50077856,NA,NA,NA,NA,NA,17.5,29799,9,4,2.25,7450
51089,G,Walmart,36.69418593,-79.90218165,NA,NA,NA,NA,NA,14.4,50760,21,5,4.2,10152
51720,G,Walmart,36.95628431,-82.6015398,NA,NA,NA,NA,NA,22.1,3668,2,1,2,3668
51071,G,Walmart,37.32953686,-80.70849556,NA,NA,NA,NA,NA,11.9,16711,6,2,3,8356
51185,G,Walmart,37.06555476,-81.73170082,NA,NA,NA,NA,NA,16.5,40392,14,6,2.33,6732
51155,G,Walmart,37.15243963,-80.58480969,NA,NA,NA,NA,NA,14.5,33841,6,5,1.2,6768
51770,G,Walmart,37.27317286,-79.90975201,NA,NA,NA,NA,NA,13.9,99213,18,9,2,11024
51161,G,Walmart,37.32234621,-79.93576471,NA,NA,NA,NA,NA,10.3,96653,7,12,0.58,8054
51161,G,Walmart,37.20638832,-79.95089247,NA,NA,NA,NA,NA,10.3,96653,7,12,0.58,8054
51770,G,Walmart,37.3009431,-79.96079212,NA,NA,NA,NA,NA,13.9,99213,18,9,2,11024
51161,G,Walmart,37.32568536,-79.87326943,NA,NA,NA,NA,NA,10.3,96653,7,12,0.58,8054
51067,G,Walmart,37.01397023,-79.86347986,NA,NA,NA,NA,NA,12.7,54838,10,4,2.5,13710
51775,G,Walmart,37.29023659,-80.08904549,NA,NA,NA,NA,NA,11.7,25372,3,5,0.6,5074
51141,G,Walmart,36.63891476,-80.24452506,NA,NA,NA,NA,NA,14,17660,4,1,4,17660
51197,G,Walmart,36.95690118,-81.0991567,NA,NA,NA,NA,NA,15.9,28275,9,4,2.25,7069
51520,G,ALDI,36.6304053,-82.14403796,NA,NA,NA,NA,NA,16.6,17036,4,3,1.33,5679
51121,G,ALDI,37.16074355,-80.42050157,NA,NA,NA,NA,NA,13.5,99373,9,9,1,11041
51590,G,ALDI,36.58248024,-79.42797988,NA,NA,NA,NA,NA,16.7,42507,16,7,2.29,6072
51690,G,ALDI,36.69810426,-79.89105842,NA,NA,NA,NA,NA,17.1,13539,4,3,1.33,4513
51770,G,ALDI,37.31625999,-79.96130807,NA,NA,NA,NA,NA,13.9,99213,18,9,2,11024
51750,G,Food City,37.12047465,-80.532689,NA,NA,NA,NA,NA,16.8,16379,2,2,1,8190
51027,G,Food City,37.23773933,-82.10364242,NA,NA,NA,NA,NA,21.7,20246,8,2,4,10123
51155,G,Food City,37.05275877,-80.74965359,NA,NA,NA,NA,NA,14.5,33841,6,5,1.2,6768
51197,G,Food City,36.94563295,-81.09041746,NA,NA,NA,NA,NA,15.9,28275,9,4,2.25,7069
51185,G,Food City,37.24263682,-81.2393183,NA,NA,NA,NA,NA,16.5,40392,14,6,2.33,6732
51640,G,Food City,36.678716,-80.89670536,NA,NA,NA,NA,NA,16.3,6687,5,2,2.5,3344
51077,G,Food City,36.62011472,-81.14323065,NA,NA,NA,NA,NA,15.5,15356,2,1,2,15356
51173,G,Food City,36.84086705,-81.50562397,NA,NA,NA,NA,NA,17.5,29799,9,4,2.25,7450
51185,G,Food City,37.06831621,-81.75690117,NA,NA,NA,NA,NA,16.5,40392,14,6,2.33,6732
51173,G,Food City,36.79901138,-81.68386544,NA,NA,NA,NA,NA,17.5,29799,9,4,2.25,7450
51191,G,Food City,36.64136285,-81.7990457,NA,NA,NA,NA,NA,14.5,53985,11,5,2.2,10797
51167,G,Food City,36.90164687,-82.05921726,NA,NA,NA,NA,NA,19.3,25763,6,2,3,12882
51191,G,Food City,36.7040437,-81.97057519,NA,NA,NA,NA,NA,14.5,53985,11,5,2.2,10797
51520,G,Food City,36.63079914,-82.13236753,NA,NA,NA,NA,NA,16.6,17036,4,3,1.33,5679
51195,G,Food City,36.90455014,-82.31550217,NA,NA,NA,NA,NA,18.5,36105,11,4,2.75,9026
51051,G,Food City,37.14899259,-82.46096414,NA,NA,NA,NA,NA,21.2,14089,2,1,2,14089
51195,G,Food City,36.94114109,-82.48596829,NA,NA,NA,NA,NA,18.5,36105,11,4,2.75,9026
51195,G,Food City,36.97640088,-82.59301063,NA,NA,NA,NA,NA,18.5,36105,11,4,2.75,9026
51169,G,Food City,36.62970726,-82.55115011,NA,NA,NA,NA,NA,17.7,21536,8,2,4,10768
51195,G,Food City,36.86900283,-82.77277186,NA,NA,NA,NA,NA,18.5,36105,11,4,2.75,9026
51191,G,Kroger,36.7060293,-81.97403667,NA,NA,NA,NA,NA,14.5,53985,11,5,2.2,10797
51005,G,Kroger,37.81670158,-79.80914542,NA,NA,NA,NA,NA,13.6,15159,2,1,2,15159
51690,G,Kroger,36.69773385,-79.87589586,NA,NA,NA,NA,NA,17.1,13539,4,3,1.33,4513
51775,G,Kroger,37.264503,-80.03499269,NA,NA,NA,NA,NA,11.7,25372,3,5,0.6,5074
51775,G,Kroger,37.29692537,-80.02904622,NA,NA,NA,NA,NA,11.7,25372,3,5,0.6,5074
51775,G,Kroger,37.29081881,-80.08316789,NA,NA,NA,NA,NA,11.7,25372,3,5,0.6,5074
51161,G,Kroger,37.2719439,-79.88715733,NA,NA,NA,NA,NA,10.3,96653,7,12,0.58,8054
51023,G,Kroger,37.39712599,-79.91126238,NA,NA,NA,NA,NA,10,33734,5,3,1.67,11245
51121,G,Kroger,37.21695866,-80.40268869,NA,NA,NA,NA,NA,13.5,99373,9,9,1,11041
51121,G,Kroger,37.23565008,-80.43515684,NA,NA,NA,NA,NA,13.5,99373,9,9,1,11041
51155,G,Kroger,37.14190959,-80.58031327,NA,NA,NA,NA,NA,14.5,33841,6,5,1.2,6768
51067,G,Kroger,37.11805326,-79.71903386,NA,NA,NA,NA,NA,12.7,54838,10,4,2.5,13710
51161,G,Kroger,37.3130765,-79.88008256,NA,NA,NA,NA,NA,10.3,96653,7,12,0.58,8054
51161,G,Kroger,37.23339693,-80.0090973,NA,NA,NA,NA,NA,10.3,96653,7,12,0.58,8054
51161,G,Kroger,37.23322846,-80.00905305,NA,NA,NA,NA,NA,10.3,96653,7,12,0.58,8054
51161,G,Kroger,37.34569043,-79.95452599,NA,NA,NA,NA,NA,10.3,96653,7,12,0.58,8054
51161,G,Kroger,37.23339933,-79.97645619,NA,NA,NA,NA,NA,10.3,96653,7,12,0.58,8054
51770,G,Kroger,37.25608786,-79.95622697,NA,NA,NA,NA,NA,13.9,99213,18,9,2,11024
51770,G,Kroger,37.31727399,-79.96547522,NA,NA,NA,NA,NA,13.9,99213,18,9,2,11024
51520,G,Kroger,36.59626235,-82.21531405,NA,NA,NA,NA,NA,16.6,17036,4,3,1.33,5679
51121,G,Kroger,37.13613663,-80.41170356,NA,NA,NA,NA,NA,13.5,99373,9,9,1,11041
51019,G,Kroger,37.36432902,-79.29486933,NA,NA,NA,NA,NA,10.7,79761,13,7,1.86,11394
51067,G,Kroger,37.01185279,-79.8657507,NA,NA,NA,NA,NA,12.7,54838,10,4,2.5,13710
51191,G,Food Lion,36.70751737,-81.9992602,NA,NA,NA,NA,NA,14.5,53985,11,5,2.2,10797
51019,G,Food Lion,37.34841991,-79.50650096,NA,NA,NA,NA,NA,10.7,79761,13,7,1.86,11394
51580,G,Food Lion,37.78204841,-79.98978137,NA,NA,NA,NA,NA,13.6,5722,3,2,1.5,2861
51063,G,Food Lion,36.91150888,-80.32350987,NA,NA,NA,NA,NA,11,15532,4,1,4,15532
51019,G,Food Lion,37.16638273,-79.63907992,NA,NA,NA,NA,NA,10.7,79761,13,7,1.86,11394
51750,G,Food Lion,37.12814545,-80.5468708,NA,NA,NA,NA,NA,16.8,16379,2,2,1,8190
51067,G,Food Lion,37.00633107,-79.8763186,NA,NA,NA,NA,NA,12.7,54838,10,4,2.5,13710
51775,G,Food Lion,37.28936205,-80.09402943,NA,NA,NA,NA,NA,11.7,25372,3,5,0.6,5074
51089,G,Food Lion,36.73840688,-79.95397385,NA,NA,NA,NA,NA,14.4,50760,21,5,4.2,10152
51023,G,Food Lion,37.34683776,-79.84633682,NA,NA,NA,NA,NA,10,33734,5,3,1.67,11245
51121,G,Food Lion,37.24801761,-80.41503485,NA,NA,NA,NA,NA,13.5,99373,9,9,1,11041
51121,G,Food Lion,37.21678317,-80.45495692,NA,NA,NA,NA,NA,13.5,99373,9,9,1,11041
51023,G,Food Lion,37.41766905,-79.90970133,NA,NA,NA,NA,NA,10,33734,5,3,1.67,11245
51019,G,Food Lion,37.30703424,-79.31037782,NA,NA,NA,NA,NA,10.7,79761,13,7,1.86,11394
51019,G,Food Lion,37.37695655,-79.24651409,NA,NA,NA,NA,NA,10.7,79761,13,7,1.86,11394
51143,G,Food Lion,36.94930443,-79.36360357,NA,NA,NA,NA,NA,14,60541,16,4,4,15135
51173,G,Food Lion,36.84356754,-81.50560383,NA,NA,NA,NA,NA,17.5,29799,9,4,2.25,7450
51185,G,Food Lion,37.09280717,-81.80645223,NA,NA,NA,NA,NA,16.5,40392,14,6,2.33,6732
51197,G,Food Lion,36.95560553,-81.09550246,NA,NA,NA,NA,NA,15.9,28275,9,4,2.25,7069
51197,G,Food Lion,36.9515551,-81.06585146,NA,NA,NA,NA,NA,15.9,28275,9,4,2.25,7069
51089,G,Food Lion,36.74892348,-79.93898569,NA,NA,NA,NA,NA,14.4,50760,21,5,4.2,10152
51590,G,Food Lion,36.55410268,-79.3996042,NA,NA,NA,NA,NA,16.7,42507,16,7,2.29,6072
51590,G,Food Lion,36.58258568,-79.3375808,NA,NA,NA,NA,NA,16.7,42507,16,7,2.29,6072
51143,G,Food Lion,36.63890488,-79.38608436,NA,NA,NA,NA,NA,14,60541,16,4,4,15135
51143,G,Food Lion,36.67489008,-79.41654769,NA,NA,NA,NA,NA,14,60541,16,4,4,15135
51590,G,Food Lion,36.5875242,-79.4339365,NA,NA,NA,NA,NA,16.7,42507,16,7,2.29,6072
51590,G,Food Lion,36.57153758,-79.4179057,NA,NA,NA,NA,NA,16.7,42507,16,7,2.29,6072
51035,G,Food Lion,36.76257379,-80.73265858,NA,NA,NA,NA,NA,14.6,29126,7,1,7,29126
51185,G,Food Lion,37.13424032,-81.49106258,NA,NA,NA,NA,NA,16.5,40392,14,6,2.33,6732
51155,G,Food Lion,37.04652706,-80.75498349,NA,NA,NA,NA,NA,14.5,33841,6,5,1.2,6768
51143,G,Food Lion,36.78960969,-79.39630397,NA,NA,NA,NA,NA,14,60541,16,4,4,15135
51121,G,Food Lion,37.14999855,-80.41682365,NA,NA,NA,NA,NA,13.5,99373,9,9,1,11041
51121,G,Food Lion,37.13388624,-80.37928274,NA,NA,NA,NA,NA,13.5,99373,9,9,1,11041
51169,G,Food Lion,36.63647857,-82.56793962,NA,NA,NA,NA,NA,17.7,21536,8,2,4,10768
51690,G,Food Lion,36.67949146,-79.84901371,NA,NA,NA,NA,NA,17.1,13539,4,3,1.33,4513
51089,G,Food Lion,36.65137779,-79.8746637,NA,NA,NA,NA,NA,14.4,50760,21,5,4.2,10152
51089,G,Food Lion,36.69325427,-79.8303913,NA,NA,NA,NA,NA,14.4,50760,21,5,4.2,10152
51071,G,Food Lion,37.33048272,-80.73584428,NA,NA,NA,NA,NA,11.9,16711,6,2,3,8356
51770,G,Food Lion,37.25149775,-79.91509793,NA,NA,NA,NA,NA,13.9,99213,18,9,2,11024
51770,G,Food Lion,37.31396331,-80.00315752,NA,NA,NA,NA,NA,13.9,99213,18,9,2,11024
51161,G,Food Lion,37.22782957,-79.98393936,NA,NA,NA,NA,NA,10.3,96653,7,12,0.58,8054
51161,G,Food Lion,37.32247018,-79.93452522,NA,NA,NA,NA,NA,10.3,96653,7,12,0.58,8054
51770,G,Food Lion,37.24661267,-80.03072801,NA,NA,NA,NA,NA,13.9,99213,18,9,2,11024
51770,G,Food Lion,37.28003904,-80.0065535,NA,NA,NA,NA,NA,13.9,99213,18,9,2,11024
51161,G,Food Lion,37.28077516,-79.86542706,NA,NA,NA,NA,NA,10.3,96653,7,12,0.58,8054
51195,D,Family Dollar,36.90724748,-82.7811431,NA,NA,NA,NA,NA,18.5,36105,11,4,2.75,9026
51089,D,Family Dollar,36.67281299,-79.74480888,NA,NA,NA,NA,NA,14.4,50760,21,5,4.2,10152
51197,D,Family Dollar,36.90858602,-80.80295173,NA,NA,NA,NA,NA,15.9,28275,9,4,2.25,7069
51089,D,Family Dollar,36.76281388,-80.028778,NA,NA,NA,NA,NA,14.4,50760,21,5,4.2,10152
51195,D,Family Dollar,36.86956895,-82.77193035,NA,NA,NA,NA,NA,18.5,36105,11,4,2.75,9026
51520,D,Family Dollar,36.5959941,-82.20799354,NA,NA,NA,NA,NA,16.6,17036,4,3,1.33,5679
51023,D,Family Dollar,37.52057898,-79.68895676,NA,NA,NA,NA,NA,10,33734,5,3,1.67,11245
51143,D,Family Dollar,36.82398716,-79.39832337,NA,NA,NA,NA,NA,14,60541,16,4,4,15135
51173,D,Family Dollar,36.80661646,-81.67433062,NA,NA,NA,NA,NA,17.5,29799,9,4,2.25,7450
51005,D,Family Dollar,37.81542571,-79.8237055,NA,NA,NA,NA,NA,13.6,15159,2,1,2,15159
51051,D,Family Dollar,37.15045811,-82.46230307,NA,NA,NA,NA,NA,21.2,14089,2,1,2,14089
51195,D,Family Dollar,36.94366899,-82.46281566,NA,NA,NA,NA,NA,18.5,36105,11,4,2.75,9026
51089,D,Family Dollar,36.71744578,-79.90877462,NA,NA,NA,NA,NA,14.4,50760,21,5,4.2,10152
51580,D,Family Dollar,37.78093961,-79.99058776,NA,NA,NA,NA,NA,13.6,5722,3,2,1.5,2861
51143,D,Family Dollar,36.70409264,-79.37091977,NA,NA,NA,NA,NA,14,60541,16,4,4,15135
51590,D,Family Dollar,36.62260456,-79.38442477,NA,NA,NA,NA,NA,16.7,42507,16,7,2.29,6072
51590,D,Family Dollar,36.58275278,-79.33824007,NA,NA,NA,NA,NA,16.7,42507,16,7,2.29,6072
51590,D,Family Dollar,36.56958247,-79.40544592,NA,NA,NA,NA,NA,16.7,42507,16,7,2.29,6072
51143,D,Family Dollar,36.67370467,-79.41874495,NA,NA,NA,NA,NA,14,60541,16,4,4,15135
51590,D,Family Dollar,36.61116507,-79.40671343,NA,NA,NA,NA,NA,16.7,42507,16,7,2.29,6072
51590,D,Family Dollar,36.56881115,-79.43365809,NA,NA,NA,NA,NA,16.7,42507,16,7,2.29,6072
51590,D,Family Dollar,36.59513345,-79.3852159,NA,NA,NA,NA,NA,16.7,42507,16,7,2.29,6072
51155,D,Family Dollar,37.10417922,-80.68707756,NA,NA,NA,NA,NA,14.5,33841,6,5,1.2,6768
51169,D,Family Dollar,36.71244089,-82.79505815,NA,NA,NA,NA,NA,17.7,21536,8,2,4,10768
51063,D,Family Dollar,36.92255489,-80.32489003,NA,NA,NA,NA,NA,11,15532,4,1,4,15532
51640,D,Family Dollar,36.66186171,-80.92636826,NA,NA,NA,NA,NA,16.3,6687,5,2,2.5,3344
51143,D,Family Dollar,36.94711016,-79.36250565,NA,NA,NA,NA,NA,14,60541,16,4,4,15135
51035,D,Family Dollar,36.76316776,-80.73289618,NA,NA,NA,NA,NA,14.6,29126,7,1,7,29126
51167,D,Family Dollar,37.01614556,-81.97436247,NA,NA,NA,NA,NA,19.3,25763,6,2,3,12882
51143,D,Family Dollar,37.10269198,-79.29916711,NA,NA,NA,NA,NA,14,60541,16,4,4,15135
51197,D,Family Dollar,36.9341005,-80.94515453,NA,NA,NA,NA,NA,15.9,28275,9,4,2.25,7069
51141,D,Family Dollar,36.73772753,-80.38987997,NA,NA,NA,NA,NA,14,17660,4,1,4,17660
51045,D,Family Dollar,37.50354912,-80.10991347,NA,NA,NA,NA,NA,12.1,4898,1,0,Inf,Inf
51185,D,Family Dollar,37.1357193,-81.49372382,NA,NA,NA,NA,NA,16.5,40392,14,6,2.33,6732
51027,D,Family Dollar,37.22114714,-82.03093933,NA,NA,NA,NA,NA,21.7,20246,8,2,4,10123
51105,D,Family Dollar,36.76309596,-83.0151502,NA,NA,NA,NA,NA,21.2,22287,7,1,7,22287
51071,D,Family Dollar,37.39301427,-80.80545467,NA,NA,NA,NA,NA,11.9,16711,6,2,3,8356
51185,D,Family Dollar,37.09503626,-81.80925253,NA,NA,NA,NA,NA,16.5,40392,14,6,2.33,6732
51161,D,Family Dollar,37.24154482,-79.99478279,NA,NA,NA,NA,NA,10.3,96653,7,12,0.58,8054
51770,D,Family Dollar,37.2851916,-79.96420949,NA,NA,NA,NA,NA,13.9,99213,18,9,2,11024
51770,D,Family Dollar,37.30127173,-79.94155589,NA,NA,NA,NA,NA,13.9,99213,18,9,2,11024
51770,D,Family Dollar,37.28426295,-79.97694686,NA,NA,NA,NA,NA,13.9,99213,18,9,2,11024
51770,D,Family Dollar,37.28056612,-80.00880197,NA,NA,NA,NA,NA,13.9,99213,18,9,2,11024
51770,D,Family Dollar,37.31598049,-80.00306555,NA,NA,NA,NA,NA,13.9,99213,18,9,2,11024
51197,D,Family Dollar,36.90198384,-81.27313902,NA,NA,NA,NA,NA,15.9,28275,9,4,2.25,7069
51089,D,Family Dollar,36.62395234,-79.95959419,NA,NA,NA,NA,NA,14.4,50760,21,5,4.2,10152
51089,D,Family Dollar,36.73721674,-79.95906153,NA,NA,NA,NA,NA,14.4,50760,21,5,4.2,10152
51141,D,Family Dollar,36.63555567,-80.20622726,NA,NA,NA,NA,NA,14,17660,4,1,4,17660
51027,D,Family Dollar,37.22381531,-82.09866749,NA,NA,NA,NA,NA,21.7,20246,8,2,4,10123
51067,D,Family Dollar,37.1063408,-79.81577003,NA,NA,NA,NA,NA,12.7,54838,10,4,2.5,13710
51195,D,Family Dollar,36.97645942,-82.5718778,NA,NA,NA,NA,NA,18.5,36105,11,4,2.75,9026
51191,D,Dollar Tree,36.71142992,-81.93056313,NA,NA,NA,NA,NA,14.5,53985,11,5,2.2,10797
51019,D,Dollar Tree,37.32537564,-79.49531906,NA,NA,NA,NA,NA,10.7,79761,13,7,1.86,11394
51195,D,Dollar Tree,36.85910369,-82.75607702,NA,NA,NA,NA,NA,18.5,36105,11,4,2.75,9026
