Year,GEOID,Name,FI_Rate,CostPerMeal,Percent_EMPLOYMENT_STATUS_Civilian_labor_force_Unemployment_Rate,Percent_INCOME_AND_BENEFITS_IN_2022_INFLATIONADJUSTED_DOLLARS_Total_households_Less_than_10000,Percent_INCOME_AND_BENEFITS_IN_2022_INFLATIONADJUSTED_DOLLARS_Total_households_10000_to_14999,Percent_INCOME_AND_BENEFITS_IN_2022_INFLATIONADJUSTED_DOLLARS_Total_households_15000_to_24999,Percent_INCOME_AND_BENEFITS_IN_2022_INFLATIONADJUSTED_DOLLARS_Total_households_25000_to_34999,Percent_INCOME_AND_BENEFITS_IN_2022_INFLATIONADJUSTED_DOLLARS_Total_households_35000_to_49999,Percent_INCOME_AND_BENEFITS_IN_2022_INFLATIONADJUSTED_DOLLARS_Total_households_50000_to_74999,Percent_INCOME_AND_BENEFITS_IN_2022_INFLATIONADJUSTED_DOLLARS_Total_households_75000_to_99999,Percent_INCOME_AND_BENEFITS_IN_2022_INFLATIONADJUSTED_DOLLARS_Total_households_100000_to_149999,Percent_INCOME_AND_BENEFITS_IN_2022_INFLATIONADJUSTED_DOLLARS_Total_households_With_Social_Security,Percent_INCOME_AND_BENEFITS_IN_2022_INFLATIONADJUSTED_DOLLARS_Total_households_With_retirement_income,Percent_INCOME_AND_BENEFITS_IN_2022_INFLATIONADJUSTED_DOLLARS_Total_households_With_Food_Stamp.SNAP_benefits_in_the_past_12_months,Estimate_EDUCATIONAL_ATTAINMENT_Population_25_years_and_over_Less_than_9th_grade,Estimate_EDUCATIONAL_ATTAINMENT_Population_25_years_and_over_High_school_graduate_includes_equivalency,Estimate_EDUCATIONAL_ATTAINMENT_Population_25_years_and_over_Bachelors_degree,Percent_VEHICLES_AVAILABLE_Occupied_housing_units_No_vehicles_available,Percent_VEHICLES_AVAILABLE_Occupied_housing_units_1_vehicle_available,Percent_VEHICLES_AVAILABLE_Occupied_housing_units_2_vehicles_available,Percent_GROSS_RENT_AS_A_PERCENTAGE_OF_HOUSEHOLD_INCOME_GRAPI_Occupied_units_paying_rent_excluding_units_where_GRAPI_cannot_be_computed_Less_than_15.0_percent,Percent_GROSS_RENT_AS_A_PERCENTAGE_OF_HOUSEHOLD_INCOME_GRAPI_Occupied_units_paying_rent_excluding_units_where_GRAPI_cannot_be_computed_30.0_to_34.9_percent,Percent_GROSS_RENT_AS_A_PERCENTAGE_OF_HOUSEHOLD_INCOME_GRAPI_Occupied_units_paying_rent_excluding_units_where_GRAPI_cannot_be_computed_35.0_percent_or_more,Percent_SEX_AND_AGE_Total_population_Female,age19AndUnder,Percent_SEX_AND_AGE_Total_population_20_to_24_years,Percent_SEX_AND_AGE_Total_population_25_to_34_years,Percent_SEX_AND_AGE_Total_population_45_to_54_years,Percent_SEX_AND_AGE_Total_population_55_to_59_years,Percent_SEX_AND_AGE_Total_population_60_to_64_years,age65AndOver,Percent_HISPANIC_OR_LATINO_AND_RACE_Total_population_Hispanic_or_Latino_of_any_race,Percent_HISPANIC_OR_LATINO_AND_RACE_Total_population_Not_Hispanic_or_Latino_White_alone,Percent_HISPANIC_OR_LATINO_AND_RACE_Total_population_Not_Hispanic_or_Latino_Black_or_African_American_alone,Percent_HISPANIC_OR_LATINO_AND_RACE_Total_population_Not_Hispanic_or_Latino_Asian_alone
2010,51071,"Giles County, Virginia",12.6,2.44,6.4,10.2,5.4,15.1,13.2,16.8,17.5,13.0,5.5,35.8,26.0,13.0,1058.0,4561.0,1228.0,6.1,27.1,39.0,21.2,5.2,38.4,50.9,24.2,4.9,10.4,14.5,7.1,7.5,17.0,1.0,96.2,1.1,0.0
2010,51077,"Grayson County, Virginia",14.5,2.43,5.8,11.6,10.3,18.4,13.5,15.6,17.2,7.8,4.0,41.1,18.2,13.2,1474.0,4154.0,966.0,6.9,28.1,34.5,25.4,9.6,22.9,51.5,21.4,4.6,9.7,15.5,7.4,8.2,20.4,2.4,94.4,2.4,0.0
2010,51089,"Henry County, Virginia",18.3,2.42,11.0,9.7,9.6,16.4,15.3,17.8,17.5,6.9,4.6,40.0,22.9,13.8,4668.0,13176.0,2795.0,6.8,31.7,33.5,20.3,7.8,38.9,51.9,23.0,5.2,10.1,15.5,6.6,7.1,18.7,4.5,71.7,22.2,0.4
2010,51105,"Lee County, Virginia",13.7,2.38,6.7,14.9,9.9,17.0,12.7,13.8,18.9,7.9,3.8,46.3,22.4,20.4,2664.0,5795.0,1483.0,12.1,27.5,34.7,18.8,5.6,43.1,49.1,23.5,5.6,11.8,15.8,7.2,6.1,16.1,1.5,93.6,3.7,0.6
2010,51121,"Montgomery County, Virginia",13.5,2.78,6.4,11.9,7.2,12.6,9.8,14.4,17.1,11.7,9.6,22.4,15.8,5.9,2237.0,11603.0,9051.0,6.0,30.7,36.3,11.0,6.7,51.7,48.1,28.4,19.7,12.8,10.3,5.1,3.7,9.5,2.6,86.3,3.9,5.6
2010,51141,"Patrick County, Virginia",14.5,2.44,11.7,8.0,7.8,16.1,17.0,18.8,17.5,8.7,4.6,42.6,24.7,9.4,1677.0,4988.0,985.0,4.4,25.7,34.7,16.7,14.9,26.8,51.1,22.7,4.7,8.5,15.1,7.7,7.2,20.5,2.2,90.3,6.2,0.2
2010,51143,"Pittsylvania County, Virginia",16.0,2.61,9.4,9.3,8.2,13.9,13.7,16.2,19.1,9.8,6.9,35.5,22.9,13.4,4441.0,16107.0,3955.0,6.2,26.8,33.4,19.0,8.1,38.7,50.9,23.9,5.0,10.1,16.5,7.6,6.7,16.5,2.0,74.2,22.4,0.3
2010,51155,"Pulaski County, Virginia",13.1,2.43,9.2,8.4,8.9,13.8,11.2,17.6,21.3,9.8,7.1,37.3,24.2,13.8,1861.0,8631.0,2480.0,8.1,28.8,36.8,26.5,5.1,36.5,50.2,21.8,5.1,11.1,15.5,8.0,7.1,17.1,1.4,91.3,5.5,0.5
2010,51161,"Roanoke County, Virginia",8.3,2.65,4.0,3.6,3.7,7.4,11.1,14.6,21.4,15.7,14.8,31.8,20.5,3.4,2170.0,16796.0,13718.0,3.5,29.6,39.2,16.9,8.0,29.1,52.5,24.5,5.0,10.2,15.9,7.4,6.5,16.4,2.1,89.1,5.0,2.5
2010,51167,"Russell County, Virginia",14.0,2.41,5.8,10.2,12.7,16.4,12.7,17.0,18.5,6.7,4.8,48.5,21.8,17.5,3311.0,7330.0,1593.0,9.0,27.4,37.0,19.6,7.1,45.9,50.7,23.0,5.3,11.6,16.5,7.8,6.2,16.2,0.1,97.5,1.3,0.3
2010,51169,"Scott County, Virginia",13.7,2.53,6.4,13.2,8.7,15.5,13.1,17.4,17.2,9.4,4.8,45.8,17.7,10.4,2568.0,6615.0,1071.0,7.3,29.7,36.4,21.2,6.0,38.2,50.4,22.0,5.6,10.0,15.2,7.1,7.2,19.1,0.8,97.5,0.6,0.1
2010,51173,"Smyth County, Virginia",14.7,2.41,6.7,11.5,9.3,15.5,13.9,16.3,17.5,9.5,4.2,42.0,22.1,13.6,2555.0,8348.0,2296.0,9.2,30.7,36.5,21.3,6.9,34.0,51.2,24.1,5.1,10.8,14.8,6.7,6.9,17.9,1.4,95.4,1.8,0.1
2010,51185,"Tazewell County, Virginia",11.8,2.36,7.3,10.7,9.4,16.7,12.9,16.8,17.3,8.0,5.8,49.5,22.4,14.2,3833.0,10645.0,3243.0,8.9,29.1,39.2,15.6,8.8,37.3,50.7,22.8,5.3,11.2,16.0,7.4,7.2,16.9,0.1,95.1,2.8,0.6
2010,51191,"Washington County, Virginia",12.3,2.37,6.5,8.7,7.7,13.7,13.4,16.0,19.3,8.8,8.4,40.4,21.1,9.6,3337.0,12793.0,5253.0,5.9,27.0,40.4,16.1,9.6,30.9,50.7,22.4,5.4,11.1,15.6,7.1,7.3,17.3,1.3,96.4,1.1,0.3
2010,51195,"Wise County, Virginia",13.1,2.4,8.3,10.7,9.8,15.9,15.6,15.8,14.7,8.7,7.0,44.3,20.2,18.2,3752.0,9882.0,2261.0,9.7,31.3,38.6,24.0,3.8,39.6,48.4,23.9,6.9,13.5,15.1,6.9,5.9,14.1,1.1,92.5,5.2,0.3
2010,51197,"Wythe County, Virginia",13.4,2.47,8.1,10.1,8.0,14.6,11.3,17.8,20.0,9.1,7.1,41.1,21.3,13.1,2079.0,6877.0,1934.0,6.2,28.0,38.3,16.1,10.3,29.6,50.5,23.7,4.9,11.3,15.2,7.6,6.3,17.0,1.0,94.5,3.9,0.2
2010,51515,"Bedford city, Virginia",15.8,2.62,3.4,13.8,8.0,15.7,15.0,15.6,16.8,4.2,7.8,33.3,20.2,16.6,242.0,1342.0,538.0,11.2,35.7,30.3,4.6,14.8,39.0,51.3,27.1,5.6,9.2,15.0,7.8,4.4,17.8,1.5,72.9,22.0,0.4
2010,51520,"Bristol city, Virginia",15.7,2.51,10.5,13.6,12.6,15.0,11.3,17.4,16.3,6.5,4.8,41.5,19.2,19.3,952.0,3718.0,1696.0,12.3,37.7,35.5,13.0,4.4,40.5,53.0,23.0,6.6,11.7,14.0,7.2,5.2,19.2,0.4,90.8,6.7,0.4
2010,51580,"Covington city, Virginia",15.9,2.44,4.5,9.1,9.8,14.5,16.1,16.8,15.6,11.2,5.6,40.1,29.8,10.9,289.0,1627.0,270.0,10.4,38.9,36.2,14.8,2.8,42.8,51.0,25.5,5.3,8.1,16.2,7.2,5.5,18.8,0.9,83.3,11.7,1.1
2010,51590,"Danville city, Virginia",23.3,2.26,12.8,14.4,10.8,18.3,13.0,15.4,13.4,6.9,5.9,36.2,22.0,20.8,2708.0,8984.0,3016.0,17.1,38.1,28.0,13.9,5.6,48.7,54.5,24.5,6.8,10.3,14.7,6.9,6.4,19.0,2.6,47.6,48.0,0.8
2010,51640,"Galax city, Virginia",17.5,2.37,8.5,22.5,16.0,13.7,8.2,13.2,11.7,8.7,4.6,37.6,16.4,23.2,855.0,1590.0,455.0,11.8,39.6,34.7,23.3,7.3,49.0,54.0,19.0,4.9,15.1,12.0,7.7,6.4,24.6,13.9,80.1,4.4,0.0
2010,51690,"Martinsville city, Virginia",26.4,2.14,11.8,12.6,12.8,16.2,12.8,15.5,15.5,5.6,6.4,37.5,20.5,20.5,916.0,3004.0,1341.0,15.0,40.5,29.1,13.9,5.8,50.7,54.8,24.6,4.9,8.7,15.3,6.5,6.4,19.3,3.7,49.6,44.6,0.6
2010,51720,"Norton city, Virginia",13.8,2.56,2.4,13.2,11.4,16.1,10.4,10.3,25.8,4.5,5.4,39.2,18.5,22.6,304.0,607.0,333.0,9.9,41.4,31.7,24.3,10.3,37.7,56.7,24.0,10.1,10.8,15.3,8.1,3.2,16.2,0.0,92.9,5.4,0.4
2010,51750,"Radford city, Virginia",17.6,2.87,11.3,14.8,9.5,19.3,11.1,12.5,14.0,8.6,7.7,23.7,12.7,11.8,195.0,1605.0,1451.0,6.7,38.2,34.5,6.6,10.2,59.9,54.5,35.2,25.0,8.9,8.5,3.3,2.7,9.0,2.2,86.5,8.0,1.6
2010,51770,"Roanoke city, Virginia",16.9,2.37,6.7,11.7,7.6,14.3,14.9,16.9,17.1,8.9,5.6,30.3,16.2,15.2,5036.0,20271.0,9432.0,13.3,40.5,30.8,12.4,9.4,40.3,52.6,24.1,6.4,14.5,14.6,6.7,5.5,14.5,4.6,63.0,28.0,1.6
2010,51775,"Salem city, Virginia",10.1,2.51,6.6,4.9,5.3,10.8,13.8,16.6,19.7,13.4,8.0,34.9,22.5,6.5,732.0,5114.0,2940.0,6.2,32.0,38.8,16.4,10.5,31.6,52.5,25.4,8.2,9.8,14.8,5.9,6.6,16.9,2.1,88.3,6.6,1.1
2011,51005,"Alleghany County, Virginia",10.0,2.82,7.3,6.1,7.7,13.1,11.7,16.2,21.0,11.3,10.5,44.2,22.6,11.0,804.0,4507.0,1124.0,7.7,23.3,31.2,19.3,11.6,35.1,51.1,23.5,4.5,8.6,15.1,8.6,6.7,19.8,0.9,92.4,5.5,0.3
2011,51019,"Bedford County, Virginia",7.9,2.96,6.0,4.6,4.1,10.0,11.1,14.9,21.6,14.2,12.9,33.4,21.2,7.6,2209.0,15705.0,7632.0,4.2,20.6,38.2,18.0,8.8,38.8,50.5,24.8,4.3,8.9,17.1,8.4,6.7,15.7,1.6,90.3,5.6,1.0
2011,51021,"Bland County, Virginia",8.2,2.65,5.1,6.6,7.9,9.3,12.7,23.1,19.6,10.4,7.5,45.7,30.6,9.6,499.0,2237.0,351.0,5.2,27.4,33.7,23.6,17.0,14.8,49.2,18.4,4.8,13.7,16.4,8.9,6.7,17.7,0.1,96.2,3.4,0.0
2011,51023,"Botetourt County, Virginia",6.2,2.98,4.4,3.5,3.6,7.8,9.1,13.2,20.4,19.0,14.1,34.0,19.5,3.5,901.0,8167.0,3753.0,2.2,21.1,39.0,20.8,5.3,33.2,51.0,24.5,4.2,8.2,17.3,7.1,8.6,16.2,1.2,94.0,3.4,0.6
2011,51027,"Buchanan County, Virginia",12.2,2.59,9.5,15.0,10.3,16.5,12.9,13.0,16.2,9.4,5.0,54.1,24.2,20.7,3278.0,5652.0,1045.0,9.9,30.6,32.6,11.3,5.7,54.5,49.1,20.8,5.4,11.6,17.1,7.3,7.5,16.3,0.3,96.1,2.1,0.7
2011,51035,"Carroll County, Virginia",12.0,2.58,8.5,9.6,10.0,15.3,14.0,18.4,17.8,7.8,6.0,40.6,23.1,14.1,2573.0,7788.0,1845.0,7.6,26.5,36.3,17.2,10.8,38.4,50.0,21.7,4.5,10.4,15.2,7.0,8.2,19.4,2.5,95.9,1.1,0.1
2011,51045,"Craig County, Virginia",6.6,2.85,1.9,0.6,4.0,5.2,11.3,23.3,18.8,22.1,13.3,35.9,19.0,3.9,144.0,1524.0,381.0,2.2,19.9,31.6,34.5,0.0,22.8,50.8,25.8,3.4,9.6,16.5,7.2,8.0,14.5,0.0,99.0,0.2,0.1
2011,51051,"Dickenson County, Virginia",12.0,2.6,9.8,11.5,10.7,18.7,18.6,12.5,15.8,6.1,4.8,52.5,24.8,20.6,1986.0,4197.0,590.0,8.2,31.5,38.3,21.5,7.4,50.5,50.0,23.3,4.9,11.7,16.0,8.2,6.2,16.7,0.2,98.4,0.6,0.1
2011,51063,"Floyd County, Virginia",9.5,2.78,6.0,7.8,9.9,13.8,9.5,16.1,21.8,12.2,5.7,37.9,14.5,13.0,834.0,3674.0,1553.0,5.0,24.4,37.9,32.2,13.4,19.0,50.6,23.8,4.6,11.1,14.6,6.3,8.6,17.5,2.4,94.4,1.4,0.6
2011,51067,"Franklin County, Virginia",10.0,2.79,7.7,7.6,6.4,11.9,11.0,15.5,21.0,12.0,9.9,36.8,21.8,11.9,3525.0,14028.0,4506.0,5.5,21.4,37.2,23.0,8.7,33.5,50.7,23.7,5.4,10.1,15.8,7.7,7.5,17.2,2.5,87.4,8.5,0.4
2011,51071,"Giles County, Virginia",10.2,2.88,7.6,8.5,6.4,13.5,11.4,17.8,20.4,11.9,6.7,38.5,24.0,12.4,949.0,4520.0,1325.0,6.1,27.3,39.1,26.0,2.7,34.0,50.9,23.8,5.1,10.2,14.6,7.0,7.7,17.5,1.1,96.0,1.3,0.0
2011,51077,"Grayson County, Virginia",12.4,2.69,5.0,9.7,11.2,19.0,14.8,12.9,17.2,9.3,4.4,42.8,18.1,15.8,1548.0,4223.0,1084.0,6.9,28.0,34.6,19.7,7.8,28.3,51.6,21.2,4.4,9.6,15.7,7.6,8.2,20.6,2.5,94.2,2.4,0.0
2011,51089,"Henry County, Virginia",16.1,2.6,12.3,9.1,8.8,17.8,16.3,16.1,17.2,7.6,5.3,39.7,23.3,15.6,4230.0,13816.0,2952.0,7.6,30.7,33.7,18.8,6.6,40.1,52.0,23.0,5.0,10.1,15.7,6.6,7.3,19.2,4.7,71.6,21.8,0.5
2011,51105,"Lee County, Virginia",12.6,2.49,7.9,13.1,12.0,16.0,12.8,14.8,18.2,8.1,3.6,47.7,23.0,21.1,2726.0,5890.0,1451.0,10.4,29.6,34.4,14.1,5.7,47.1,47.8,22.6,5.5,12.3,15.8,6.9,6.7,15.6,1.5,93.4,3.7,0.3
2011,51121,"Montgomery County, Virginia",14.2,3.1,6.4,11.1,7.8,12.2,9.5,14.3,16.1,11.9,10.1,21.8,15.7,6.1,1876.0,11538.0,9784.0,6.1,30.0,37.4,10.3,8.0,52.8,47.9,27.0,21.0,12.7,10.3,5.0,3.9,9.6,2.7,85.8,4.0,5.5
2011,51141,"Patrick County, Virginia",12.1,2.69,11.4,9.1,7.5,15.3,16.3,18.9,17.8,10.2,3.6,46.4,24.0,12.8,1696.0,4912.0,1087.0,5.8,26.1,35.1,18.3,13.8,33.4,50.4,21.8,4.0,8.9,15.3,8.1,6.9,21.2,2.3,90.2,6.2,0.0
2011,51143,"Pittsylvania County, Virginia",12.8,2.82,10.0,8.4,8.1,13.5,13.8,15.4,19.6,10.8,7.3,36.2,23.1,14.1,4605.0,15611.0,3954.0,5.7,26.3,34.1,18.1,7.0,37.8,51.2,23.6,5.0,10.0,16.5,7.8,6.9,16.9,2.1,74.3,22.1,0.2
2011,51155,"Pulaski County, Virginia",11.0,2.71,10.0,7.5,8.1,14.3,12.2,17.1,21.3,9.4,7.6,38.8,23.9,15.0,1883.0,8462.0,2519.0,7.2,29.2,37.0,21.6,8.5,40.1,50.4,21.6,5.2,10.8,15.2,7.6,7.7,17.5,1.4,91.5,5.4,0.5
2011,51161,"Roanoke County, Virginia",7.5,2.96,4.6,3.8,3.7,7.0,10.0,14.2,20.8,16.6,15.8,32.7,20.6,4.3,2258.0,17239.0,13998.0,3.7,28.9,39.3,17.1,8.9,29.5,52.5,24.3,4.9,10.2,15.7,7.4,6.7,17.0,2.2,88.7,5.2,2.6
2011,51167,"Russell County, Virginia",12.7,2.62,7.6,11.4,12.4,16.3,11.9,16.5,17.9,6.6,5.7,48.8,21.0,19.2,3237.0,7831.0,1573.0,9.5,28.0,33.6,19.7,7.3,47.8,50.5,22.7,5.3,11.5,16.3,7.8,6.6,16.4,0.1,97.3,1.4,0.3
2011,51169,"Scott County, Virginia",11.3,2.67,6.9,12.3,9.2,15.0,12.4,16.4,15.2,12.7,5.3,44.9,19.3,10.8,2618.0,6190.0,1244.0,9.5,27.1,35.4,22.4,4.7,38.9,50.4,21.6,5.1,10.7,15.1,7.7,6.8,19.6,0.9,97.5,0.7,0.2
2011,51173,"Smyth County, Virginia",13.6,2.55,7.0,10.8,9.9,15.0,14.8,15.9,18.0,8.2,4.9,41.5,21.3,14.7,2445.0,8551.0,2210.0,9.2,32.2,35.1,19.3,2.9,37.3,51.1,23.5,5.2,10.7,14.7,7.1,6.9,18.3,1.5,95.2,1.9,0.3
2011,51185,"Tazewell County, Virginia",11.0,2.58,8.1,10.6,8.7,15.7,13.1,16.6,18.3,8.7,6.0,49.2,22.8,14.6,3645.0,10824.0,3064.0,9.1,28.0,39.3,13.2,7.2,38.4,50.7,22.6,5.1,11.5,15.5,8.0,7.2,17.2,0.3,94.9,2.9,0.6
2011,51191,"Washington County, Virginia",10.6,2.66,6.1,7.8,7.2,12.3,14.1,17.2,18.8,9.7,8.2,40.5,21.8,10.3,3110.0,12822.0,5203.0,5.2,27.9,40.3,15.0,10.0,31.1,50.7,22.4,5.4,11.0,15.6,6.7,7.8,17.6,1.3,96.2,1.2,0.4
2011,51195,"Wise County, Virginia",12.5,2.61,8.5,10.5,9.5,15.7,14.7,14.7,16.0,8.9,7.5,44.2,20.4,19.7,3839.0,9438.0,2568.0,9.2,30.3,39.4,22.3,4.1,39.3,48.2,23.7,7.1,13.7,14.6,6.1,6.9,14.2,1.2,92.4,4.9,0.3
2011,51197,"Wythe County, Virginia",10.8,2.78,9.3,8.7,7.4,13.9,12.0,18.2,19.5,9.9,7.3,40.3,21.1,12.4,1710.0,6940.0,2009.0,6.6,28.9,37.1,17.6,8.3,27.4,50.4,23.2,5.2,11.0,15.1,7.9,6.6,17.2,1.0,94.4,4.2,0.1
2011,51515,"Bedford city, Virginia",15.6,2.8,7.1,13.9,6.4,14.5,15.5,14.2,20.1,3.0,8.9,31.5,20.2,17.1,337.0,1437.0,576.0,11.8,41.0,26.8,4.1,16.4,37.2,51.9,24.5,5.3,10.5,15.3,8.4,4.5,18.9,1.6,74.8,21.0,0.4
2011,51520,"Bristol city, Virginia",15.4,2.7,11.5,11.9,11.4,16.2,12.7,17.1,16.7,7.8,4.1,43.2,18.3,19.5,966.0,3610.0,1840.0,12.6,39.1,32.9,16.6,6.0,39.0,53.3,23.6,6.0,12.4,13.8,7.1,5.2,19.4,0.4,90.4,5.9,0.7
2011,51580,"Covington city, Virginia",14.5,2.6,4.9,7.5,10.0,13.2,16.3,20.1,15.8,10.2,4.7,42.1,29.2,11.9,312.0,1517.0,267.0,9.6,42.5,35.0,16.5,3.1,41.8,49.9,25.1,7.1,6.1,16.1,7.3,5.2,19.2,1.2,83.2,10.8,1.0
2011,51590,"Danville city, Virginia",23.1,2.41,13.8,13.8,12.0,16.7,12.9,16.0,14.1,6.5,5.6,39.0,24.0,21.2,2675.0,8684.0,3139.0,16.4,38.7,27.8,14.5,6.3,49.5,54.5,24.5,6.8,10.8,14.4,6.8,6.7,19.0,2.8,47.1,48.1,0.9
